source_serial_number,source_node_id,source_node_port,target_node_port,target_node_id,target_serial_number,cable_number
,XE9680_1,1,1,QM9770-L_1,,1
,XE9680_1,2,1,QM9770-L_2,,2
,XE9680_1,3,1,QM9770-L_3,,3
,XE9680_1,4,1,QM9770-L_4,,4
,XE9680_1,5,1,QM9770-L_5,,5
,XE9680_1,6,1,QM9770-L_6,,6
,XE9680_1,7,1,QM9770-L_7,,7
,XE9680_1,8,1,QM9770-L_8,,8
,XE9680_2,1,2,QM9770-L_1,,9
,XE9680_2,2,2,QM9770-L_2,,10
,XE9680_2,3,2,QM9770-L_3,,11
,XE9680_2,4,2,QM9770-L_4,,12
,XE9680_2,5,2,QM9770-L_5,,13
,XE9680_2,6,2,QM9770-L_6,,14
,XE9680_2,7,2,QM9770-L_7,,15
,XE9680_2,8,2,QM9770-L_8,,16
,XE9680_3,1,3,QM9770-L_1,,17
,XE9680_3,2,3,QM9770-L_2,,18
,XE9680_3,3,3,QM9770-L_3,,19
,XE9680_3,4,3,QM9770-L_4,,20
,XE9680_3,5,3,QM9770-L_5,,21
,XE9680_3,6,3,QM9770-L_6,,22
,XE9680_3,7,3,QM9770-L_7,,23
,XE9680_3,8,3,QM9770-L_8,,24
,XE9680_4,1,4,QM9770-L_1,,25
,XE9680_4,2,4,QM9770-L_2,,26
,XE9680_4,3,4,QM9770-L_3,,27
,XE9680_4,4,4,QM9770-L_4,,28
,XE9680_4,5,4,QM9770-L_5,,29
,XE9680_4,6,4,QM9770-L_6,,30
,XE9680_4,7,4,QM9770-L_7,,31
,XE9680_4,8,4,QM9770-L_8,,32
,XE9680_5,1,5,QM9770-L_1,,33
,XE9680_5,2,5,QM9770-L_2,,34
,XE9680_5,3,5,QM9770-L_3,,35
,XE9680_5,4,5,QM9770-L_4,,36
,XE9680_5,5,5,QM9770-L_5,,37
,XE9680_5,6,5,QM9770-L_6,,38
,XE9680_5,7,5,QM9770-L_7,,39
,XE9680_5,8,5,QM9770-L_8,,40
,XE9680_6,1,6,QM9770-L_1,,41
,XE9680_6,2,6,QM9770-L_2,,42
